capital,university,venture,enterprise,procurement_before,procurement_after,timedelta,accelerator_type,energy_and_semiconductor,finance,ecology,bio,computer,service
,0.0,0.0,1.0,0.0,0.0,92,,0,0,0,0,1,0
,1.0,1.0,0.0,0.0,0.0,360,0.0,0,0,0,1,0,0
3000.0,0.0,1.0,0.0,10000.0,40026.0,359,1.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,9324.0,46417.0,513,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,76000.0,0.0,101,1.0,0,0,0,0,1,0
10.0,0.0,0.0,1.0,40010.0,100264.0,688,1.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,5000.0,100000.0,365,,0,1,0,0,0,0
1000.0,0.0,0.0,1.0,1000.0,80000.0,1370,1.0,0,0,0,0,1,0
4000.0,0.0,1.0,0.0,14000.0,49800.0,196,0.0,0,0,0,0,1,0
5000.0,1.0,0.0,0.0,35400.0,130000.0,260,1.0,0,0,0,1,0,0
3070.0,1.0,0.0,1.0,5770.0,100990.0,179,,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,3000.0,32993.0,80,1.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,3000.0,15000.0,2,,0,0,0,0,1,0
100.0,0.0,1.0,0.0,100.0,60954.0,388,,0,0,0,1,0,0
100.0,0.0,1.0,0.0,7600.0,49948.0,749,,1,0,0,0,0,0
2000.0,0.0,1.0,0.0,392200.0,227600.0,703,,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,2000.0,1491.0,79,0.0,0,0,0,1,0,0
1000.0,0.0,0.0,1.0,1000.0,20000.0,59,,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,10000.0,60000.0,49,1.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,1000.0,0.0,348,,0,0,0,0,1,0
200.0,0.0,1.0,0.0,57703.0,0.0,331,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,1013,1.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,41400.0,30115.0,294,1.0,1,0,0,0,0,0
300.0,0.0,1.0,0.0,34050.0,1500765.0,543,1.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,219990.0,998799.0,1034,,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,6000.0,7000.0,974,0.0,0,0,0,0,1,0
1000.0,1.0,0.0,0.0,675711.0,0.0,936,,0,0,0,1,0,0
5010.0,1.0,0.0,1.0,10020.0,0.0,1008,1.0,0,0,0,1,0,0
1500.0,0.0,1.0,0.0,31582.0,4000.0,488,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,200000.0,0.0,931,1.0,0,1,0,0,0,0
5000.0,0.0,0.0,1.0,111000.0,0.0,597,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,1.0,2000.0,20000.0,153,1.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1000.0,0.0,1403,1.0,0,0,0,0,1,0
1500.0,0.0,0.0,1.0,13000.0,0.0,1009,1.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,2000.0,60000.0,633,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,0.0,410000.0,138,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,973,0.0,0,0,0,0,0,1
3000.0,0.0,0.0,0.0,191840.0,0.0,1105,1.0,0,0,0,0,1,0
7000.0,1.0,0.0,1.0,458796.0,273218.0,906,1.0,0,0,0,1,0,0
5000.0,0.0,0.0,1.0,5000.0,0.0,1334,0.0,0,0,0,0,1,0
,1.0,0.0,0.0,0.0,0.0,1308,1.0,0,0,0,0,1,0
735.0,0.0,1.0,0.0,184785.0,0.0,1336,1.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,326170.0,659994.0,881,1.0,0,0,0,0,0,1
3000.0,0.0,0.0,1.0,113550.0,401016.0,275,1.0,0,1,0,0,0,0
3000.0,0.0,0.0,1.0,3000.0,51200.0,31,1.0,0,0,0,0,1,0
500.0,1.0,0.0,0.0,500.0,0.0,1477,1.0,0,0,0,1,0,0
10.0,0.0,1.0,0.0,290010.0,350000.0,757,1.0,0,0,0,1,0,0
10.0,0.0,1.0,0.0,1010.0,62700.0,123,1.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,14000.0,38250.0,1003,1.0,0,0,0,0,1,0
1000.0,1.0,0.0,1.0,1203040.0,0.0,1337,1.0,1,0,0,0,0,0
1000.0,0.0,0.0,0.0,0.0,0.0,426,0.0,0,0,0,0,0,1
,1.0,0.0,0.0,0.0,0.0,746,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,377400.0,0.0,972,1.0,0,0,0,1,0,0
,0.0,0.0,0.0,0.0,111000.0,549,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,542.0,0.0,1034,1.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,309000.0,0.0,895,1.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,867,1.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,1000.0,79310.0,237,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,1000.0,50000.0,274,1.0,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,56039.0,121,1.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,0.0,0.0,1061,1.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,53000.0,240000.0,662,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,944,1.0,1,0,0,0,0,0
100000.0,0.0,1.0,1.0,238870.0,-19935.0,629,1.0,0,1,0,0,0,0
,0.0,1.0,1.0,0.0,0.0,336,1.0,0,0,0,0,0,1
150000.0,1.0,0.0,1.0,100.0,0.0,378,1.0,0,0,0,0,1,0
92000.0,1.0,0.0,0.0,59160.0,5000.0,606,1.0,0,0,0,0,1,0
14000.0,0.0,0.0,0.0,0.0,0.0,632,0.0,0,0,0,0,0,1
117000.0,0.0,0.0,0.0,1000.0,10000.0,338,1.0,0,0,0,0,1,0
23000.0,0.0,1.0,0.0,0.0,0.0,218,1.0,0,0,0,0,0,1
235000.0,0.0,0.0,1.0,0.0,70000.0,126,1.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,5000.0,0.0,243,0.0,0,0,0,0,0,1
20000.0,0.0,0.0,1.0,5000.0,0.0,730,0.0,1,0,0,0,0,0
18000.0,0.0,0.0,1.0,0.0,0.0,912,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,263200.0,0.0,1208,1.0,0,0,0,0,0,1
6000.0,0.0,0.0,0.0,1000.0,0.0,534,1.0,0,0,0,0,1,0
45000.0,0.0,1.0,0.0,0.0,30000.0,768,1.0,0,0,0,0,1,0
7000.0,0.0,1.0,1.0,0.0,28000.0,640,1.0,0,0,0,0,1,0
94000.0,0.0,0.0,0.0,5000.0,25000.0,596,1.0,0,0,0,1,0,0
29000.0,0.0,0.0,1.0,6000.0,45470.0,545,1.0,0,1,0,0,0,0
,1.0,0.0,0.0,0.0,0.0,553,,0,0,0,1,0,0
9000.0,1.0,0.0,1.0,0.0,0.0,577,1.0,0,0,0,1,0,0
40000.0,0.0,0.0,0.0,20999.0,70000.0,786,,0,0,0,0,1,0
33000.0,0.0,0.0,1.0,500.0,29950.0,699,1.0,0,0,0,0,0,1
,0.0,0.0,1.0,3000.0,30400.0,335,1.0,0,0,0,0,1,0
109000.0,0.0,0.0,1.0,0.0,100000.0,387,1.0,0,0,0,0,0,1
16000.0,0.0,1.0,0.0,9500.0,0.0,625,,0,0,0,0,0,1
26000.0,0.0,0.0,0.0,0.0,0.0,598,1.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,0.0,456,0.0,0,0,0,0,0,1
13000.0,0.0,0.0,1.0,23004.0,50000.0,473,,0,0,0,0,0,1
92000.0,0.0,1.0,0.0,54000.0,0.0,987,,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,0.0,50000.0,17,,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,3000.0,15000.0,274,1.0,0,0,0,0,1,0
78000.0,0.0,0.0,1.0,6453.0,71904.0,420,1.0,0,0,0,0,0,1
34000.0,0.0,0.0,0.0,20050.0,28210.0,618,,0,0,0,0,0,1
,0.0,1.0,0.0,1640000.0,0.0,852,,0,0,0,0,1,0
6000.0,1.0,0.0,1.0,0.0,0.0,640,1.0,1,0,0,0,0,0
,0.0,1.0,0.0,0.0,0.0,395,1.0,0,0,0,0,1,0
11000.0,0.0,0.0,0.0,10000.0,0.0,554,0.0,0,0,0,0,0,1
23000.0,0.0,0.0,0.0,500.0,20000.0,24,1.0,0,0,0,0,0,1
42000.0,0.0,0.0,1.0,16007.0,3001.0,208,1.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,149,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,0.0,0.0,61,0.0,1,0,0,0,0,0
,0.0,1.0,0.0,21958.0,0.0,425,1.0,0,0,0,0,0,1
151000.0,0.0,0.0,1.0,29550.0,170000.0,270,0.0,0,0,0,1,0,0
46000.0,0.0,0.0,0.0,13000.0,0.0,747,1.0,0,0,0,0,1,0
88000.0,0.0,1.0,0.0,31000.0,144000.0,760,1.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,395,0.0,0,0,0,0,1,0
9000.0,0.0,0.0,0.0,16000.0,0.0,680,,0,0,0,0,1,0
70000.0,1.0,1.0,0.0,32272.0,75600.0,716,1.0,0,0,0,0,1,0
166000.0,0.0,0.0,1.0,46000.0,150919.0,542,1.0,0,1,0,0,0,0
342000.0,0.0,0.0,1.0,13500.0,157624.0,424,1.0,0,0,0,0,1,0
34000.0,0.0,0.0,0.0,0.0,0.0,996,1.0,0,0,0,0,1,0
100000.0,0.0,0.0,1.0,180000.0,1000000.0,274,1.0,0,0,0,0,0,1
651000.0,0.0,0.0,1.0,10000.0,39668.0,61,1.0,0,0,0,0,0,1
122000.0,0.0,0.0,1.0,2000.0,29003.0,184,1.0,0,0,0,0,0,1
312000.0,0.0,0.0,1.0,84080.0,99999.0,697,0.0,0,0,0,1,0,0
68000.0,0.0,0.0,1.0,0.0,0.0,1034,0.0,0,0,0,1,0,0
31000.0,1.0,0.0,0.0,0.0,0.0,953,1.0,0,0,0,0,1,0
74000.0,0.0,0.0,1.0,100.0,59788.0,306,1.0,0,0,0,0,1,0
,0.0,0.0,1.0,0.0,0.0,851,1.0,0,0,0,0,1,0
567000.0,0.0,1.0,0.0,639416.0,542520.0,639,1.0,0,0,0,0,0,1
90000.0,0.0,0.0,0.0,390600.0,0.0,247,,0,1,0,0,0,0
29000.0,0.0,0.0,1.0,0.0,0.0,1095,1.0,0,0,0,0,1,0
125000.0,0.0,0.0,1.0,1000.0,130000.0,8,1.0,0,0,0,0,1,0
66000.0,0.0,1.0,0.0,108990.0,0.0,963,1.0,1,0,0,0,0,0
274000.0,0.0,0.0,1.0,145970.0,808680.0,915,,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,0.0,395,0.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,396,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,0.0,0.0,1004,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,700,1.0,0,0,0,0,0,1
11000.0,0.0,0.0,0.0,0.0,0.0,913,0.0,0,0,0,1,0,0
2000.0,0.0,0.0,1.0,0.0,0.0,394,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,0.0,0.0,316,1.0,0,0,0,0,1,0
41000.0,0.0,0.0,1.0,0.0,0.0,588,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,518,0.0,0,0,0,0,1,0
,0.0,1.0,0.0,51900.0,0.0,944,1.0,0,0,0,0,1,0
,1.0,0.0,1.0,30000.0,1600007.0,1227,,0,0,0,0,1,0
,0.0,0.0,1.0,0.0,0.0,518,0.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,36,1.0,0,0,0,0,0,1
,0.0,1.0,0.0,0.0,0.0,87,1.0,0,1,0,0,0,0
,1.0,1.0,0.0,0.0,0.0,226,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,0.0,0.0,365,1.0,0,0,0,0,0,1
100.0,0.0,0.0,1.0,100.0,0.0,157,1.0,1,0,0,0,0,0
,0.0,0.0,1.0,0.0,0.0,55,1.0,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,0.0,1400,1.0,1,0,0,0,0,0
,0.0,1.0,0.0,0.0,3846.0,456,0.0,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,0.0,616,0.0,0,0,0,1,0,0
