capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,limited_industry
3000.0,0.0,1.0,0.0,1.0,10000.0,359.0,40026.0,0,0,0,0,0,1,0.0
1000.0,0.0,1.0,0.0,1.0,9324.0,513.0,46417.0,0,0,0,0,0,1,0.0
10000.0,0.0,0.0,1.0,1.0,76000.0,101.0,0.0,0,0,0,0,1,0,0.0
10.0,0.0,0.0,1.0,1.0,40010.0,688.0,100264.0,0,0,0,0,0,1,0.0
1000.0,0.0,0.0,1.0,1.0,1000.0,1370.0,80000.0,0,0,0,0,1,0,1.0
4000.0,0.0,1.0,0.0,1.0,14000.0,196.0,49800.0,0,0,0,0,1,0,0.0
5000.0,1.0,0.0,0.0,1.0,35400.0,260.0,130000.0,0,0,0,1,0,0,0.0
3000.0,0.0,1.0,0.0,1.0,3000.0,80.0,32993.0,0,0,0,0,1,0,1.0
2000.0,0.0,0.0,0.0,1.0,2000.0,79.0,1491.0,0,0,0,1,0,0,0.0
10000.0,0.0,0.0,1.0,1.0,10000.0,49.0,60000.0,0,0,0,0,1,0,0.0
200.0,0.0,1.0,0.0,1.0,57703.0,331.0,0.0,0,0,0,0,1,0,0.0
1000.0,0.0,0.0,0.0,1.0,41400.0,294.0,30115.0,1,0,0,0,0,0,0.0
300.0,0.0,1.0,0.0,1.0,34050.0,543.0,1500765.0,0,0,0,0,1,0,0.0
3000.0,0.0,1.0,0.0,1.0,6000.0,974.0,7000.0,0,0,0,0,1,0,0.0
5010.0,1.0,0.0,1.0,1.0,10020.0,1008.0,0.0,0,0,0,1,0,0,1.0
1500.0,0.0,1.0,0.0,1.0,31582.0,488.0,4000.0,0,0,0,0,1,0,0.0
5000.0,0.0,0.0,1.0,1.0,111000.0,597.0,0.0,0,0,0,0,0,1,0.0
2000.0,0.0,0.0,1.0,1.0,2000.0,153.0,20000.0,0,0,0,0,0,1,0.0
1000.0,0.0,0.0,1.0,1.0,1000.0,1403.0,0.0,0,0,0,0,1,0,0.0
1500.0,0.0,0.0,1.0,1.0,13000.0,1009.0,0.0,0,0,0,0,1,0,1.0
2000.0,0.0,0.0,1.0,1.0,2000.0,633.0,60000.0,0,0,0,0,1,0,0.0
1000.0,0.0,1.0,0.0,0.0,63000.0,769.0,375000.0,0,0,0,0,0,1,0.0
3000.0,0.0,0.0,0.0,1.0,191840.0,1105.0,0.0,0,0,0,0,1,0,0.0
7000.0,1.0,0.0,1.0,1.0,458796.0,906.0,273218.0,0,0,0,1,0,0,0.0
5000.0,0.0,0.0,1.0,1.0,5000.0,1334.0,0.0,0,0,0,0,1,0,0.0
735.0,0.0,1.0,0.0,1.0,184785.0,1336.0,0.0,0,0,0,0,1,0,1.0
5000.0,0.0,1.0,0.0,1.0,326170.0,881.0,659994.0,0,0,0,0,0,1,0.0
3000.0,0.0,0.0,1.0,1.0,113550.0,275.0,401016.0,0,1,0,0,0,0,0.0
3000.0,0.0,0.0,1.0,1.0,3000.0,31.0,51200.0,0,0,0,0,1,0,0.0
500.0,1.0,0.0,0.0,1.0,500.0,1477.0,0.0,0,0,0,1,0,0,1.0
10.0,0.0,1.0,0.0,1.0,290010.0,757.0,350000.0,0,0,0,1,0,0,0.0
10.0,0.0,1.0,0.0,1.0,1010.0,123.0,62700.0,0,0,0,0,1,0,0.0
3000.0,0.0,1.0,0.0,1.0,14000.0,1003.0,38250.0,0,0,0,0,1,0,1.0
1000.0,1.0,0.0,1.0,1.0,1203040.0,1337.0,0.0,1,0,0,0,0,0,1.0
1000.0,0.0,0.0,0.0,1.0,0.0,426.0,0.0,0,0,0,0,0,1,0.0
1000.0,0.0,1.0,0.0,1.0,377400.0,972.0,0.0,0,0,0,1,0,0,0.0
1000.0,0.0,1.0,0.0,1.0,309000.0,895.0,0.0,0,0,0,0,0,1,0.0
1000.0,0.0,0.0,1.0,1.0,1000.0,237.0,79310.0,0,0,0,0,1,0,0.0
1000.0,0.0,1.0,0.0,1.0,1000.0,274.0,50000.0,0,0,0,0,0,1,1.0
1000.0,0.0,1.0,0.0,1.0,0.0,1061.0,0.0,0,0,0,0,1,0,1.0
3000.0,0.0,0.0,1.0,1.0,53000.0,662.0,240000.0,0,0,0,0,1,0,1.0
100000.0,0.0,1.0,1.0,1.0,238870.0,629.0,-19935.0,0,1,0,0,0,0,0.0
150000.0,1.0,0.0,1.0,1.0,100.0,378.0,0.0,0,0,0,0,1,0,0.0
92000.0,1.0,0.0,0.0,1.0,59160.0,606.0,5000.0,0,0,0,0,1,0,0.0
14000.0,0.0,0.0,0.0,1.0,0.0,632.0,0.0,0,0,0,0,0,1,0.0
117000.0,0.0,0.0,0.0,1.0,1000.0,338.0,10000.0,0,0,0,0,1,0,1.0
23000.0,0.0,1.0,0.0,1.0,0.0,218.0,0.0,0,0,0,0,0,1,0.0
235000.0,0.0,0.0,1.0,1.0,0.0,126.0,70000.0,0,0,0,0,0,1,0.0
5000.0,0.0,0.0,1.0,1.0,5000.0,243.0,0.0,0,0,0,0,0,1,0.0
20000.0,0.0,0.0,1.0,1.0,5000.0,730.0,0.0,1,0,0,0,0,0,0.0
18000.0,0.0,0.0,1.0,1.0,0.0,912.0,0.0,0,0,0,0,1,0,0.0
6000.0,0.0,0.0,0.0,1.0,1000.0,534.0,0.0,0,0,0,0,1,0,1.0
45000.0,0.0,1.0,0.0,1.0,0.0,768.0,30000.0,0,0,0,0,1,0,1.0
7000.0,0.0,1.0,1.0,1.0,0.0,640.0,28000.0,0,0,0,0,1,0,0.0
94000.0,0.0,0.0,0.0,1.0,5000.0,596.0,25000.0,0,0,0,1,0,0,1.0
29000.0,0.0,0.0,1.0,1.0,6000.0,545.0,45470.0,0,1,0,0,0,0,0.0
9000.0,1.0,0.0,1.0,1.0,0.0,577.0,0.0,0,0,0,1,0,0,0.0
33000.0,0.0,0.0,1.0,1.0,500.0,699.0,29950.0,0,0,0,0,0,1,0.0
109000.0,0.0,0.0,1.0,1.0,0.0,387.0,100000.0,0,0,0,0,0,1,0.0
26000.0,0.0,0.0,0.0,1.0,0.0,598.0,0.0,0,0,0,0,1,0,0.0
1000.0,0.0,0.0,0.0,1.0,0.0,456.0,0.0,0,0,0,0,0,1,0.0
3000.0,0.0,0.0,0.0,1.0,3000.0,274.0,15000.0,0,0,0,0,1,0,1.0
78000.0,0.0,0.0,1.0,1.0,6453.0,420.0,71904.0,0,0,0,0,0,1,0.0
6000.0,1.0,0.0,1.0,1.0,0.0,640.0,0.0,1,0,0,0,0,0,0.0
11000.0,0.0,0.0,0.0,1.0,10000.0,554.0,0.0,0,0,0,0,0,1,0.0
23000.0,0.0,0.0,0.0,1.0,500.0,24.0,20000.0,0,0,0,0,0,1,0.0
42000.0,0.0,0.0,1.0,1.0,16007.0,208.0,3001.0,0,0,0,0,0,1,1.0
151000.0,0.0,0.0,1.0,1.0,29550.0,270.0,170000.0,0,0,0,1,0,0,0.0
46000.0,0.0,0.0,0.0,1.0,13000.0,747.0,0.0,0,0,0,0,1,0,0.0
88000.0,0.0,1.0,0.0,1.0,31000.0,760.0,144000.0,0,0,0,0,0,1,0.0
133000.0,1.0,0.0,1.0,0.0,11500.0,,50063.0,0,0,0,1,0,0,0.0
70000.0,1.0,1.0,0.0,1.0,32272.0,716.0,75600.0,0,0,0,0,1,0,0.0
166000.0,0.0,0.0,1.0,1.0,46000.0,542.0,150919.0,0,1,0,0,0,0,1.0
342000.0,0.0,0.0,1.0,1.0,13500.0,424.0,157624.0,0,0,0,0,1,0,0.0
34000.0,0.0,0.0,0.0,1.0,0.0,996.0,0.0,0,0,0,0,1,0,0.0
100000.0,0.0,0.0,1.0,1.0,180000.0,274.0,1000000.0,0,0,0,0,0,1,0.0
651000.0,0.0,0.0,1.0,1.0,10000.0,61.0,39668.0,0,0,0,0,0,1,0.0
122000.0,0.0,0.0,1.0,1.0,2000.0,184.0,29003.0,0,0,0,0,0,1,0.0
312000.0,0.0,0.0,1.0,1.0,84080.0,697.0,99999.0,0,0,0,1,0,0,0.0
68000.0,0.0,0.0,1.0,1.0,0.0,1034.0,0.0,0,0,0,1,0,0,0.0
31000.0,1.0,0.0,0.0,1.0,0.0,953.0,0.0,0,0,0,0,1,0,0.0
74000.0,0.0,0.0,1.0,1.0,100.0,306.0,59788.0,0,0,0,0,1,0,0.0
567000.0,0.0,1.0,0.0,1.0,639416.0,639.0,542520.0,0,0,0,0,0,1,1.0
29000.0,0.0,0.0,1.0,1.0,0.0,1095.0,0.0,0,0,0,0,1,0,0.0
125000.0,0.0,0.0,1.0,1.0,1000.0,8.0,130000.0,0,0,0,0,1,0,1.0
66000.0,0.0,1.0,0.0,1.0,108990.0,963.0,0.0,1,0,0,0,0,0,0.0
2000.0,0.0,0.0,0.0,1.0,0.0,1004.0,0.0,0,0,0,0,1,0,0.0
11000.0,0.0,0.0,0.0,1.0,0.0,913.0,0.0,0,0,0,1,0,0,0.0
2000.0,0.0,0.0,1.0,1.0,0.0,394.0,0.0,0,0,0,0,1,0,0.0
2000.0,0.0,0.0,1.0,1.0,0.0,316.0,0.0,0,0,0,0,1,0,0.0
41000.0,0.0,0.0,1.0,1.0,0.0,588.0,0.0,0,0,0,0,1,0,0.0
100.0,0.0,0.0,1.0,1.0,100.0,157.0,0.0,1,0,0,0,0,0,0.0
