capital,university,venture,enterprise,procurement_before,acc_short,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service
500000.0,0.0,1.0,0.0,1182000.0,False,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,10000.0,False,135000.0,0,0,0,0,1,0
240.0,0.0,0.0,1.0,240.0,False,0.0,0,0,0,1,0,0
3000.0,1.0,0.0,0.0,3000.0,False,0.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,10000.0,True,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1000.0,False,0.0,1,0,0,0,0,0
1000.0,0.0,1.0,0.0,7150.0,False,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,76000.0,True,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,2000.0,False,2093.0,0,0,0,0,0,1
11500.0,1.0,0.0,0.0,11500.0,False,316400.0,0,0,0,1,0,0
10000.0,0.0,1.0,0.0,10000.0,False,0.0,0,0,0,0,0,1
10300.0,0.0,0.0,0.0,10300.0,False,0.0,0,0,0,0,0,1
10.0,0.0,0.0,1.0,10.0,False,0.0,0,0,0,0,0,1
9000.0,0.0,1.0,0.0,25050.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,5000.0,False,4000.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,5000.0,False,0.0,0,1,0,0,0,0
1000.0,0.0,0.0,1.0,1000.0,False,0.0,0,0,0,0,1,0
4000.0,0.0,1.0,0.0,14000.0,True,10000.0,0,0,0,0,1,0
10000.0,0.0,1.0,0.0,10000.0,False,0.0,1,0,0,0,0,0
5000.0,0.0,0.0,0.0,5000.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,0.0,5000.0,False,0.0,0,0,0,0,0,1
1.0,0.0,0.0,0.0,1.0,False,0.0,0,0,0,0,0,1
1550.0,0.0,0.0,0.0,1550.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,0.0,0.0,3000.0,False,0.0,0,0,0,1,0,0
1000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,0,1,0
5000.0,1.0,0.0,0.0,35400.0,True,0.0,0,0,0,1,0,0
3070.0,1.0,0.0,1.0,5770.0,True,100990.0,0,0,0,0,1,0
8000.0,0.0,0.0,1.0,8000.0,False,0.0,0,0,0,1,0,0
3000.0,0.0,1.0,0.0,3000.0,True,19993.0,0,0,0,0,1,0
10000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,0.0,10000.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,0.0,1.0,3000.0,True,15000.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,5000.0,False,0.0,0,0,0,0,1,0
100.0,0.0,1.0,0.0,100.0,False,0.0,0,0,0,1,0,0
100.0,0.0,1.0,0.0,100.0,False,0.0,1,0,0,0,0,0
2000.0,0.0,1.0,0.0,132200.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,51000.0,False,164773.0,0,1,0,0,0,0
2000.0,0.0,0.0,0.0,2000.0,True,1491.0,0,0,0,1,0,0
4500.0,0.0,0.0,0.0,4500.0,False,500.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1000.0,True,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,10000.0,True,60000.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,1.0,0.0,9000.0,False,0.0,0,0,0,1,0,0
1000.0,0.0,0.0,1.0,10000.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,1000.0,True,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,1000.0,False,0.0,0,0,0,1,0,0
30.0,1.0,0.0,0.0,30.0,False,0.0,1,0,0,0,0,0
200.0,0.0,1.0,0.0,57703.0,True,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,41400.0,True,30115.0,1,0,0,0,0,0
300.0,0.0,1.0,0.0,300.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,1.0,5000.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,5000.0,False,195000.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,3000.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,61000.0,False,0.0,1,0,0,0,0,0
3200.0,0.0,0.0,1.0,3200.0,False,0.0,0,0,0,0,0,1
33000.0,0.0,0.0,1.0,133000.0,False,0.0,1,0,0,0,0,0
5000.0,0.0,0.0,1.0,5000.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,101000.0,False,0.0,0,1,0,0,0,0
6000.0,0.0,0.0,1.0,6000.0,False,0.0,0,0,0,0,0,1
100.0,1.0,1.0,0.0,50100.0,False,60000.0,0,0,0,1,0,0
1000.0,1.0,0.0,0.0,16001.0,False,0.0,0,0,0,1,0,0
1100.0,1.0,0.0,0.0,5800.0,False,125000.0,0,0,0,1,0,0
5010.0,1.0,0.0,1.0,10020.0,False,0.0,0,0,0,1,0,0
10000.0,1.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
1500.0,0.0,1.0,0.0,1530.0,False,10032.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,6040.0,False,20160.0,0,0,0,0,1,0
3580.0,0.0,0.0,1.0,3580.0,False,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,1.0,2000.0,False,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,1000.0,False,0.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,20000.0,False,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,1.0,2000.0,True,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1000.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,0.0,10000.0,False,0.0,0,0,1,0,0,0
1500.0,0.0,0.0,1.0,1500.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
2000.0,0.0,0.0,1.0,2000.0,False,0.0,0,0,0,0,1,0
2000.0,0.0,1.0,0.0,2000.0,False,39998.0,0,0,0,0,0,1
5000.0,1.0,0.0,0.0,5000.0,False,0.0,1,0,0,0,0,0
1000.0,1.0,1.0,0.0,32500.0,False,0.0,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,3340.0,False,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,2000.0,False,7000.0,0,0,0,0,0,1
10.0,1.0,1.0,0.0,15154.0,False,0.0,0,0,0,0,0,1
7000.0,1.0,0.0,1.0,34375.0,False,0.0,0,0,0,1,0,0
1000.0,0.0,0.0,1.0,1000.0,False,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,11600.0,False,3000.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,1000.0,False,0.0,1,0,0,0,0,0
5000.0,0.0,0.0,1.0,5000.0,False,0.0,0,0,0,0,1,0
9000.0,0.0,0.0,1.0,9000.0,False,0.0,0,0,0,0,1,0
1000.0,1.0,0.0,0.0,10900.0,False,0.0,0,0,1,0,0,0
735.0,0.0,1.0,0.0,40785.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,10010.0,False,44840.0,0,0,0,0,0,1
1000.0,0.0,0.0,1.0,1000.0,False,0.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,113550.0,True,0.0,0,1,0,0,0,0
36300.0,0.0,0.0,1.0,196300.0,False,0.0,1,0,0,0,0,0
10.0,0.0,0.0,1.0,19300.0,False,33577.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,3000.0,True,51200.0,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,24300.0,False,0.0,0,0,0,0,1,0
500.0,1.0,0.0,0.0,500.0,False,0.0,0,0,0,1,0,0
10.0,0.0,1.0,0.0,30010.0,False,0.0,0,0,0,1,0,0
1000.0,0.0,1.0,0.0,1000.0,False,8602.0,1,0,0,0,0,0
5000.0,1.0,0.0,0.0,85000.0,False,0.0,0,0,0,1,0,0
10.0,0.0,1.0,0.0,1010.0,True,62700.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,3000.0,False,11000.0,0,0,0,0,1,0
9800.0,0.0,0.0,0.0,9800.0,False,10210.0,0,0,0,0,0,1
1000.0,1.0,0.0,1.0,30040.0,False,168000.0,1,0,0,0,0,0
1000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,2400.0,False,25000.0,0,0,0,1,0,0
10000.0,0.0,1.0,0.0,316000.0,False,0.0,0,0,0,0,0,1
10000.0,0.0,0.0,1.0,23000.0,False,25000.0,1,0,0,0,0,0
1000.0,0.0,1.0,0.0,110000.0,False,0.0,0,0,0,0,0,1
6500.0,0.0,0.0,0.0,6500.0,False,101500.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,1000.0,True,9310.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,0,0,1
5000.0,0.0,1.0,0.0,111800.0,False,0.0,0,0,0,0,0,1
600.0,0.0,0.0,1.0,600.0,False,0.0,0,0,0,0,0,1
16540.0,0.0,0.0,0.0,16540.0,False,0.0,0,0,0,0,0,1
200.0,0.0,0.0,0.0,5200.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,1000.0,False,7500.0,0,0,0,1,0,0
1000.0,0.0,0.0,1.0,5725.0,False,8500.0,0,0,0,1,0,0
11600.0,0.0,0.0,1.0,11600.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,1.0,0.0,1000.0,True,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,51000.0,False,50000.0,0,1,0,0,0,0
9000.0,0.0,1.0,0.0,11000.0,False,12500.0,0,0,0,0,0,1
3000.0,0.0,0.0,1.0,36852.0,False,0.0,0,0,0,0,0,1
400.0,0.0,1.0,0.0,400.0,False,45000.0,0,0,0,0,0,1
149500.0,0.0,0.0,1.0,149500.0,False,0.0,0,0,0,0,1,0
560.0,0.0,1.0,0.0,30560.0,False,63440.0,0,0,0,0,1,0
3000.0,0.0,0.0,1.0,3000.0,False,0.0,0,0,0,0,1,0
215000.0,0.0,0.0,1.0,105005.0,False,0.0,0,0,0,0,0,1
100000.0,0.0,1.0,1.0,108910.0,False,0.0,0,1,0,0,0,0
388000.0,0.0,1.0,0.0,196977.0,False,0.0,0,0,0,0,0,1
275000.0,0.0,1.0,1.0,50000.0,False,0.0,0,1,0,0,0,0
379000.0,1.0,0.0,0.0,65500.0,False,0.0,0,0,0,1,0,0
3000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
7000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
30000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,1.0,0.0,False,0.0,0,0,0,0,1,0
81000.0,0.0,1.0,1.0,0.0,False,0.0,0,1,0,0,0,0
86000.0,0.0,1.0,1.0,6000.0,False,10000.0,0,0,0,0,1,0
50000.0,1.0,0.0,0.0,100000.0,False,0.0,0,0,1,0,0,0
150000.0,1.0,0.0,0.0,180000.0,False,0.0,0,0,0,1,0,0
2000.0,1.0,0.0,0.0,0.0,False,0.0,1,0,0,0,0,0
23000.0,0.0,1.0,1.0,31230.0,False,6100.0,0,0,1,0,0,0
150000.0,1.0,0.0,1.0,100.0,False,0.0,0,0,0,0,1,0
89000.0,0.0,0.0,0.0,10049.0,False,0.0,0,0,0,1,0,0
92000.0,1.0,0.0,0.0,2150.0,False,0.0,0,0,0,0,1,0
60000.0,0.0,0.0,1.0,1000.0,False,0.0,0,0,0,0,1,0
378000.0,0.0,0.0,1.0,10000.0,False,89500.0,0,1,0,0,0,0
58000.0,0.0,0.0,0.0,10000.0,False,0.0,0,0,0,0,0,1
98000.0,0.0,0.0,1.0,13003.0,False,13979.0,0,0,0,0,0,1
154000.0,1.0,0.0,0.0,62000.0,False,155000.0,1,0,0,0,0,0
14000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
468000.0,0.0,1.0,1.0,1000.0,False,0.0,0,0,0,0,0,1
117000.0,0.0,0.0,0.0,1000.0,True,0.0,0,0,0,0,1,0
8000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
23000.0,0.0,1.0,0.0,0.0,True,0.0,0,0,0,0,0,1
235000.0,0.0,0.0,1.0,0.0,True,70000.0,0,0,0,0,0,1
1280000.0,0.0,1.0,0.0,3000.0,False,0.0,0,0,0,1,0,0
60000.0,1.0,1.0,0.0,2500.0,False,0.0,1,0,0,0,0,0
2000.0,0.0,0.0,0.0,2000.0,False,0.0,1,0,0,0,0,0
166000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,1,0,0
91000.0,0.0,0.0,1.0,6600.0,False,0.0,0,0,0,1,0,0
200000.0,0.0,0.0,0.0,8001.0,False,20020.0,0,0,0,0,1,0
102000.0,0.0,0.0,1.0,290000.0,False,0.0,1,0,0,0,0,0
100000.0,0.0,0.0,0.0,50000.0,False,0.0,1,0,0,0,0,0
150000.0,0.0,1.0,0.0,249992.0,False,0.0,0,0,0,0,1,0
30000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
30000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
10000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
100000.0,0.0,0.0,1.0,2000.0,False,20150.0,0,0,0,1,0,0
5000.0,0.0,0.0,1.0,5000.0,True,0.0,0,0,0,0,0,1
33000.0,0.0,0.0,0.0,30000.0,False,3060.0,0,0,0,0,0,1
4000.0,1.0,0.0,0.0,0.0,False,0.0,1,0,0,0,0,0
10000.0,1.0,0.0,1.0,0.0,False,0.0,0,0,1,0,0,0
6000.0,1.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
100000.0,0.0,0.0,0.0,10000.0,False,0.0,0,0,1,0,0,0
38000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,0,0,1
63000.0,0.0,0.0,1.0,3000.0,False,0.0,0,0,0,0,1,0
20000.0,0.0,0.0,1.0,5000.0,False,0.0,1,0,0,0,0,0
153000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
20000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,1.0,1.0,5000.0,False,0.0,0,0,0,0,1,0
13000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
61000.0,0.0,1.0,0.0,9900.0,False,0.0,0,0,0,0,1,0
27000.0,1.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
18000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
37000.0,0.0,0.0,1.0,7000.0,False,0.0,0,0,0,0,0,1
25000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
23000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
16000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
52000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
2000.0,1.0,0.0,0.0,0.0,False,0.0,1,0,0,0,0,0
100000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
58000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
23000.0,0.0,1.0,0.0,3000.0,False,0.0,0,0,0,0,1,0
75000.0,0.0,0.0,0.0,10020.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
90000.0,0.0,0.0,0.0,10000.0,False,80000.0,0,0,0,0,0,1
155000.0,1.0,0.0,0.0,0.0,False,0.0,1,0,0,0,0,0
58000.0,0.0,1.0,0.0,11162.0,False,0.0,0,0,0,1,0,0
100000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
6000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,0,1,0
45000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
29000.0,0.0,0.0,1.0,1200.0,False,0.0,0,0,0,0,1,0
7000.0,0.0,1.0,1.0,0.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,20000.0,False,0.0,0,0,0,0,1,0
94000.0,0.0,0.0,0.0,2000.0,False,0.0,0,0,0,1,0,0
202000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,0,1
29000.0,0.0,0.0,1.0,6000.0,False,0.0,0,1,0,0,0,0
104000.0,0.0,0.0,1.0,4000.0,False,0.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,200.0,False,0.0,0,0,0,0,0,1
106000.0,0.0,0.0,1.0,8400.0,False,43500.0,0,0,0,0,1,0
9000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
4000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
9000.0,1.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
90000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
500.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,10000.0,False,0.0,1,0,0,0,0,0
40000.0,0.0,0.0,0.0,1000.0,False,5000.0,0,0,0,0,1,0
15000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
12000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,0,1
15000.0,0.0,0.0,0.0,15000.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,1.0,5000.0,False,0.0,0,0,0,0,0,1
49000.0,0.0,0.0,1.0,10000.0,False,0.0,0,0,0,0,0,1
100000.0,0.0,0.0,1.0,1597500.0,False,0.0,0,0,0,0,1,0
33000.0,0.0,0.0,1.0,500.0,False,0.0,0,0,0,0,0,1
109000.0,0.0,0.0,0.0,9000.0,False,0.0,1,0,0,0,0,0
5000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
109000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
31000.0,0.0,0.0,1.0,56000.0,False,0.0,0,0,0,0,0,1
35000.0,0.0,0.0,1.0,5000.0,False,0.0,1,0,0,0,0,0
16000.0,0.0,1.0,0.0,5000.0,False,0.0,0,0,0,0,0,1
65000.0,0.0,0.0,1.0,0.0,False,0.0,0,1,0,0,0,0
55000.0,0.0,1.0,0.0,30000.0,False,0.0,0,0,0,0,1,0
37000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
16000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
60000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
46000.0,0.0,1.0,0.0,12000.0,False,0.0,0,0,0,0,1,0
1000.0,1.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
22000.0,0.0,1.0,0.0,1000.0,False,0.0,0,0,0,0,0,1
26000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
100.0,1.0,0.0,0.0,99100.0,False,0.0,0,0,0,1,0,0
2000.0,0.0,0.0,0.0,2000.0,False,0.0,0,0,0,0,0,1
85000.0,0.0,0.0,1.0,7000.0,False,162000.0,0,0,0,0,0,1
13000.0,0.0,0.0,1.0,3000.0,False,0.0,0,0,0,0,0,1
92000.0,0.0,1.0,0.0,4000.0,False,0.0,0,0,0,0,1,0
277000.0,0.0,0.0,1.0,10000.0,False,28220.0,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,0.0,True,0.0,0,0,0,0,1,0
8000.0,1.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,1.0,0.0,500.0,False,0.0,0,0,0,0,0,1
42000.0,0.0,0.0,0.0,15100.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,0.0,0.0,3000.0,True,10000.0,0,0,0,0,1,0
300000.0,0.0,0.0,1.0,110642.0,False,0.0,0,0,0,0,1,0
70000.0,0.0,0.0,0.0,9980.0,False,0.0,1,0,0,0,0,0
93000.0,0.0,0.0,1.0,100000.0,False,66980.0,0,0,0,0,1,0
91000.0,0.0,1.0,0.0,71700.0,False,0.0,0,0,0,1,0,0
21000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
17000.0,0.0,1.0,0.0,2500.0,False,0.0,0,0,0,0,1,0
78000.0,0.0,0.0,1.0,6453.0,False,0.0,0,0,0,0,0,1
30000.0,0.0,1.0,0.0,15000.0,False,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,0.0,1500.0,False,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,2000.0,False,0.0,0,0,0,0,0,1
34000.0,0.0,0.0,0.0,50.0,False,0.0,0,0,0,0,0,1
14000.0,0.0,0.0,0.0,10000.0,False,2500.0,0,0,0,1,0,0
89000.0,0.0,0.0,0.0,50.0,False,0.0,0,0,0,0,0,1
40000.0,1.0,0.0,0.0,5000.0,False,0.0,0,0,0,0,1,0
181000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
50000.0,0.0,0.0,0.0,99900.0,False,0.0,0,0,0,0,0,1
75000.0,0.0,1.0,0.0,3000.0,False,14600.0,0,0,0,0,0,1
10000.0,0.0,1.0,0.0,10000.0,False,0.0,0,0,0,0,1,0
66000.0,0.0,1.0,0.0,1000.0,False,65120.0,0,0,0,0,1,0
14000.0,1.0,0.0,1.0,6100.0,False,0.0,0,0,0,1,0,0
125000.0,0.0,1.0,0.0,183950.0,False,0.0,0,0,0,0,1,0
6000.0,1.0,0.0,1.0,0.0,False,0.0,1,0,0,0,0,0
74000.0,1.0,0.0,1.0,2000.0,False,143504.0,1,0,0,0,0,0
135000.0,0.0,0.0,0.0,9900.0,False,0.0,0,0,0,0,1,0
22000.0,0.0,0.0,0.0,0.0,False,2000.0,0,0,0,0,1,0
44000.0,0.0,0.0,1.0,3730.0,False,0.0,0,0,0,0,1,0
11000.0,0.0,0.0,0.0,10000.0,False,0.0,0,0,0,0,0,1
23000.0,0.0,0.0,0.0,500.0,True,20000.0,0,0,0,0,0,1
